Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Disease
shivering,chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,Allergy
watering_from_eyes,shivering,chills,continuous_sneezing,,,,,,,,,,,,,,Allergy
shivering,watering_from_eyes,chills,,,,,,,,,,,,,,,Allergy
watering_from_eyes,shivering,continuous_sneezing,,,,,,,,,,,,,,,Allergy
chills,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,Allergy
shivering,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,,Allergy
watering_from_eyes,shivering,chills,,,,,,,,,,,,,,,Allergy
watering_from_eyes,continuous_sneezing,chills,,,,,,,,,,,,,,,Allergy
continuous_sneezing,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,Allergy
acidity,stomach_pain,ulcers_on_tongue,chest_pain,vomiting,cough,,,,,,,,,,,,GERD
ulcers_on_tongue,chest_pain,vomiting,acidity,cough,stomach_pain,,,,,,,,,,,,GERD
vomiting,stomach_pain,cough,,,,,,,,,,,,,,,GERD
acidity,stomach_pain,cough,vomiting,ulcers_on_tongue,,,,,,,,,,,,,GERD
stomach_pain,cough,acidity,chest_pain,,,,,,,,,,,,,,GERD
vomiting,stomach_pain,acidity,chest_pain,,,,,,,,,,,,,,GERD
ulcers_on_tongue,acidity,stomach_pain,vomiting,cough,,,,,,,,,,,,,GERD
cough,stomach_pain,ulcers_on_tongue,,,,,,,,,,,,,,,GERD
vomiting,acidity,stomach_pain,ulcers_on_tongue,chest_pain,cough,,,,,,,,,,,,GERD
chest_pain,cough,stomach_pain,ulcers_on_tongue,vomiting,,,,,,,,,,,,,GERD
cough,vomiting,ulcers_on_tongue,stomach_pain,acidity,,,,,,,,,,,,,GERD
vomiting,chest_pain,stomach_pain,,,,,,,,,,,,,,,GERD
ulcers_on_tongue,vomiting,acidity,cough,stomach_pain,chest_pain,,,,,,,,,,,,GERD
vomiting,chest_pain,ulcers_on_tongue,acidity,stomach_pain,cough,,,,,,,,,,,,GERD
vomiting,acidity,chest_pain,ulcers_on_tongue,cough,,,,,,,,,,,,,GERD
stomach_pain,vomiting,ulcers_on_tongue,chest_pain,acidity,,,,,,,,,,,,,GERD
ulcers_on_tongue,chest_pain,cough,acidity,,,,,,,,,,,,,,GERD
cough,stomach_pain,acidity,chest_pain,ulcers_on_tongue,,,,,,,,,,,,,GERD
vomiting,cough,acidity,ulcers_on_tongue,chest_pain,stomach_pain,,,,,,,,,,,,GERD
stomach_pain,chest_pain,ulcers_on_tongue,cough,acidity,vomiting,,,,,,,,,,,,GERD
chest_pain,cough,ulcers_on_tongue,acidity,vomiting,,,,,,,,,,,,,GERD
chest_pain,cough,ulcers_on_tongue,acidity,vomiting,stomach_pain,,,,,,,,,,,,GERD
ulcers_on_tongue,acidity,stomach_pain,chest_pain,vomiting,,,,,,,,,,,,,GERD
stomach_pain,cough,acidity,chest_pain,ulcers_on_tongue,,,,,,,,,,,,,GERD
ulcers_on_tongue,cough,chest_pain,stomach_pain,vomiting,acidity,,,,,,,,,,,,GERD
ulcers_on_tongue,acidity,chest_pain,stomach_pain,,,,,,,,,,,,,,GERD
ulcers_on_tongue,stomach_pain,cough,chest_pain,,,,,,,,,,,,,,GERD
chest_pain,acidity,vomiting,stomach_pain,ulcers_on_tongue,,,,,,,,,,,,,GERD
vomiting,chest_pain,cough,acidity,stomach_pain,,,,,,,,,,,,,GERD
ulcers_on_tongue,vomiting,stomach_pain,,,,,,,,,,,,,,,GERD
vomiting,chest_pain,stomach_pain,,,,,,,,,,,,,,,GERD
acidity,chest_pain,ulcers_on_tongue,,,,,,,,,,,,,,,GERD
acidity,stomach_pain,vomiting,,,,,,,,,,,,,,,GERD
cough,vomiting,chest_pain,acidity,,,,,,,,,,,,,,GERD
cough,vomiting,ulcers_on_tongue,chest_pain,stomach_pain,,,,,,,,,,,,,GERD
acidity,chest_pain,ulcers_on_tongue,,,,,,,,,,,,,,,GERD
acidity,chest_pain,cough,,,,,,,,,,,,,,,GERD
acidity,stomach_pain,vomiting,,,,,,,,,,,,,,,GERD
chest_pain,cough,vomiting,acidity,stomach_pain,ulcers_on_tongue,,,,,,,,,,,,GERD
chest_pain,ulcers_on_tongue,vomiting,stomach_pain,cough,,,,,,,,,,,,,GERD
chest_pain,cough,acidity,vomiting,stomach_pain,,,,,,,,,,,,,GERD
chest_pain,acidity,ulcers_on_tongue,stomach_pain,,,,,,,,,,,,,,GERD
stomach_pain,acidity,ulcers_on_tongue,,,,,,,,,,,,,,,GERD
vomiting,stomach_pain,chest_pain,ulcers_on_tongue,acidity,,,,,,,,,,,,,GERD
ulcers_on_tongue,cough,vomiting,acidity,stomach_pain,chest_pain,,,,,,,,,,,,GERD
chest_pain,ulcers_on_tongue,cough,stomach_pain,vomiting,acidity,,,,,,,,,,,,GERD
chest_pain,ulcers_on_tongue,stomach_pain,,,,,,,,,,,,,,,GERD
vomiting,cough,chest_pain,acidity,,,,,,,,,,,,,,GERD
cough,vomiting,chest_pain,stomach_pain,,,,,,,,,,,,,,GERD
ulcers_on_tongue,vomiting,chest_pain,acidity,stomach_pain,cough,,,,,,,,,,,,GERD
vomiting,chest_pain,ulcers_on_tongue,cough,acidity,,,,,,,,,,,,,GERD
vomiting,stomach_pain,ulcers_on_tongue,,,,,,,,,,,,,,,GERD
ulcers_on_tongue,stomach_pain,vomiting,chest_pain,cough,,,,,,,,,,,,,GERD
vomiting,stomach_pain,acidity,ulcers_on_tongue,chest_pain,cough,,,,,,,,,,,,GERD
stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,cough,,,,,,,,,,,,GERD
chest_pain,vomiting,stomach_pain,cough,ulcers_on_tongue,acidity,,,,,,,,,,,,GERD
cough,stomach_pain,vomiting,chest_pain,ulcers_on_tongue,,,,,,,,,,,,,GERD
vomiting,stomach_pain,acidity,,,,,,,,,,,,,,,GERD
chest_pain,ulcers_on_tongue,cough,acidity,vomiting,stomach_pain,,,,,,,,,,,,GERD
vomiting,cough,acidity,chest_pain,,,,,,,,,,,,,,GERD
loss_of_appetite,abdominal_pain,vomiting,itching,,,,,,,,,,,,,,Chronic cholestasis
nausea,yellowish_skin,loss_of_appetite,itching,vomiting,,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,abdominal_pain,nausea,itching,vomiting,,,,,,,,,,,,,Chronic cholestasis
yellowish_skin,abdominal_pain,nausea,vomiting,loss_of_appetite,itching,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,nausea,vomiting,abdominal_pain,,,,,,,,,,,,,,Chronic cholestasis
yellowish_skin,nausea,loss_of_appetite,,,,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,vomiting,nausea,itching,yellowish_skin,loss_of_appetite,,,,,,,,,,,,Chronic cholestasis
nausea,itching,abdominal_pain,,,,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,vomiting,nausea,,,,,,,,,,,,,,,Chronic cholestasis
itching,nausea,yellowish_skin,vomiting,,,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,itching,yellowish_skin,nausea,vomiting,loss_of_appetite,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,itching,abdominal_pain,nausea,vomiting,yellowish_skin,,,,,,,,,,,,Chronic cholestasis
nausea,itching,loss_of_appetite,,,,,,,,,,,,,,,Chronic cholestasis
vomiting,yellowish_skin,itching,nausea,abdominal_pain,loss_of_appetite,,,,,,,,,,,,Chronic cholestasis
yellowish_skin,abdominal_pain,nausea,itching,loss_of_appetite,,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,vomiting,abdominal_pain,itching,yellowish_skin,nausea,,,,,,,,,,,,Chronic cholestasis
nausea,loss_of_appetite,vomiting,itching,,,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,yellowish_skin,nausea,vomiting,itching,loss_of_appetite,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,loss_of_appetite,vomiting,itching,nausea,,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,yellowish_skin,nausea,abdominal_pain,vomiting,,,,,,,,,,,,,Chronic cholestasis
yellowish_skin,vomiting,nausea,loss_of_appetite,itching,abdominal_pain,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,yellowish_skin,abdominal_pain,nausea,vomiting,itching,,,,,,,,,,,,Chronic cholestasis
yellowish_skin,itching,loss_of_appetite,abdominal_pain,vomiting,nausea,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,yellowish_skin,vomiting,abdominal_pain,,,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,yellowish_skin,vomiting,abdominal_pain,,,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,itching,yellowish_skin,,,,,,,,,,,,,,,Chronic cholestasis
itching,loss_of_appetite,yellowish_skin,nausea,abdominal_pain,vomiting,,,,,,,,,,,,Chronic cholestasis
yellowish_skin,nausea,vomiting,itching,abdominal_pain,,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,abdominal_pain,yellowish_skin,itching,vomiting,,,,,,,,,,,,,Chronic cholestasis
yellowish_skin,abdominal_pain,itching,vomiting,nausea,loss_of_appetite,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,nausea,yellowish_skin,itching,,,,,,,,,,,,,,Chronic cholestasis
itching,yellowish_skin,abdominal_pain,vomiting,loss_of_appetite,nausea,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,yellowish_skin,itching,loss_of_appetite,nausea,vomiting,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,abdominal_pain,yellowish_skin,,,,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,itching,nausea,yellowish_skin,,,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,nausea,itching,loss_of_appetite,yellowish_skin,,,,,,,,,,,,,Chronic cholestasis
yellowish_skin,nausea,itching,,,,,,,,,,,,,,,Chronic cholestasis
vomiting,loss_of_appetite,abdominal_pain,,,,,,,,,,,,,,,Chronic cholestasis
nausea,yellowish_skin,abdominal_pain,loss_of_appetite,itching,vomiting,,,,,,,,,,,,Chronic cholestasis
nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,,,,,Chronic cholestasis
itching,yellowish_skin,vomiting,nausea,loss_of_appetite,,,,,,,,,,,,,Chronic cholestasis
yellowish_skin,itching,abdominal_pain,nausea,,,,,,,,,,,,,,Chronic cholestasis
itching,nausea,yellowish_skin,abdominal_pain,loss_of_appetite,,,,,,,,,,,,,Chronic cholestasis
itching,vomiting,abdominal_pain,nausea,loss_of_appetite,yellowish_skin,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,vomiting,itching,yellowish_skin,,,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,vomiting,abdominal_pain,nausea,,,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,itching,yellowish_skin,abdominal_pain,,,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,yellowish_skin,vomiting,itching,,,,,,,,,,,,,,Chronic cholestasis
vomiting,itching,yellowish_skin,,,,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,yellowish_skin,itching,nausea,,,,,,,,,,,,,,Chronic cholestasis
itching,vomiting,nausea,yellowish_skin,abdominal_pain,,,,,,,,,,,,,Chronic cholestasis
nausea,abdominal_pain,yellowish_skin,,,,,,,,,,,,,,,Chronic cholestasis
nausea,loss_of_appetite,vomiting,,,,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,loss_of_appetite,yellowish_skin,,,,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,itching,loss_of_appetite,vomiting,yellowish_skin,nausea,,,,,,,,,,,,Chronic cholestasis
nausea,abdominal_pain,itching,,,,,,,,,,,,,,,Chronic cholestasis
yellowish_skin,loss_of_appetite,vomiting,,,,,,,,,,,,,,,Chronic cholestasis
vomiting,yellowish_skin,loss_of_appetite,,,,,,,,,,,,,,,Chronic cholestasis
loss_of_appetite,abdominal_pain,yellowish_skin,vomiting,nausea,itching,,,,,,,,,,,,Chronic cholestasis
abdominal_pain,loss_of_appetite,vomiting,,,,,,,,,,,,,,,Chronic cholestasis
burning_micturition,skin_rash,fatigue,stomach_pain,,,,,,,,,,,,,,Drug Reaction
burning_micturition,fatigue,stomach_pain,itching,,,,,,,,,,,,,,Drug Reaction
burning_micturition,stomach_pain,fatigue,skin_rash,,,,,,,,,,,,,,Drug Reaction
skin_rash,burning_micturition,itching,stomach_pain,,,,,,,,,,,,,,Drug Reaction
itching,burning_micturition,fatigue,,,,,,,,,,,,,,,Drug Reaction
stomach_pain,skin_rash,fatigue,itching,burning_micturition,,,,,,,,,,,,,Drug Reaction
itching,burning_micturition,skin_rash,stomach_pain,fatigue,,,,,,,,,,,,,Drug Reaction
fatigue,stomach_pain,skin_rash,itching,,,,,,,,,,,,,,Drug Reaction
fatigue,skin_rash,itching,burning_micturition,stomach_pain,,,,,,,,,,,,,Drug Reaction
stomach_pain,fatigue,itching,,,,,,,,,,,,,,,Drug Reaction
fatigue,skin_rash,burning_micturition,itching,,,,,,,,,,,,,,Drug Reaction
stomach_pain,itching,burning_micturition,skin_rash,fatigue,,,,,,,,,,,,,Drug Reaction
stomach_pain,itching,burning_micturition,fatigue,,,,,,,,,,,,,,Drug Reaction
burning_micturition,itching,fatigue,stomach_pain,skin_rash,,,,,,,,,,,,,Drug Reaction
fatigue,skin_rash,burning_micturition,stomach_pain,itching,,,,,,,,,,,,,Drug Reaction
skin_rash,stomach_pain,fatigue,burning_micturition,,,,,,,,,,,,,,Drug Reaction
fatigue,itching,burning_micturition,stomach_pain,skin_rash,,,,,,,,,,,,,Drug Reaction
itching,fatigue,skin_rash,stomach_pain,burning_micturition,,,,,,,,,,,,,Drug Reaction
fatigue,burning_micturition,skin_rash,stomach_pain,,,,,,,,,,,,,,Drug Reaction
fatigue,itching,skin_rash,,,,,,,,,,,,,,,Drug Reaction
itching,stomach_pain,burning_micturition,skin_rash,,,,,,,,,,,,,,Drug Reaction
stomach_pain,itching,burning_micturition,skin_rash,fatigue,,,,,,,,,,,,,Drug Reaction
skin_rash,stomach_pain,itching,,,,,,,,,,,,,,,Drug Reaction
stomach_pain,fatigue,skin_rash,,,,,,,,,,,,,,,Drug Reaction
itching,burning_micturition,stomach_pain,,,,,,,,,,,,,,,Drug Reaction
skin_rash,fatigue,burning_micturition,itching,,,,,,,,,,,,,,Drug Reaction
fatigue,stomach_pain,itching,skin_rash,burning_micturition,,,,,,,,,,,,,Drug Reaction
itching,burning_micturition,fatigue,skin_rash,,,,,,,,,,,,,,Drug Reaction
burning_micturition,fatigue,stomach_pain,skin_rash,itching,,,,,,,,,,,,,Drug Reaction
burning_micturition,itching,skin_rash,,,,,,,,,,,,,,,Drug Reaction
fatigue,burning_micturition,stomach_pain,,,,,,,,,,,,,,,Drug Reaction
itching,burning_micturition,fatigue,stomach_pain,,,,,,,,,,,,,,Drug Reaction
fatigue,burning_micturition,stomach_pain,itching,,,,,,,,,,,,,,Drug Reaction
stomach_pain,fatigue,itching,skin_rash,,,,,,,,,,,,,,Drug Reaction
itching,fatigue,stomach_pain,,,,,,,,,,,,,,,Drug Reaction
skin_rash,stomach_pain,fatigue,itching,burning_micturition,,,,,,,,,,,,,Drug Reaction
skin_rash,stomach_pain,itching,,,,,,,,,,,,,,,Drug Reaction
fatigue,skin_rash,stomach_pain,,,,,,,,,,,,,,,Drug Reaction
skin_rash,burning_micturition,fatigue,,,,,,,,,,,,,,,Drug Reaction
fatigue,burning_micturition,stomach_pain,skin_rash,itching,,,,,,,,,,,,,Drug Reaction
burning_micturition,itching,skin_rash,,,,,,,,,,,,,,,Drug Reaction
stomach_pain,fatigue,burning_micturition,itching,,,,,,,,,,,,,,Drug Reaction
fatigue,itching,skin_rash,stomach_pain,,,,,,,,,,,,,,Drug Reaction
itching,fatigue,skin_rash,stomach_pain,,,,,,,,,,,,,,Drug Reaction
itching,burning_micturition,skin_rash,,,,,,,,,,,,,,,Drug Reaction
fatigue,itching,skin_rash,burning_micturition,stomach_pain,,,,,,,,,,,,,Drug Reaction
burning_micturition,skin_rash,itching,fatigue,stomach_pain,,,,,,,,,,,,,Drug Reaction
itching,skin_rash,fatigue,stomach_pain,,,,,,,,,,,,,,Drug Reaction
burning_micturition,fatigue,stomach_pain,itching,skin_rash,,,,,,,,,,,,,Drug Reaction
stomach_pain,burning_micturition,skin_rash,fatigue,,,,,,,,,,,,,,Drug Reaction
fatigue,itching,stomach_pain,skin_rash,burning_micturition,,,,,,,,,,,,,Drug Reaction
itching,burning_micturition,skin_rash,stomach_pain,,,,,,,,,,,,,,Drug Reaction
fatigue,skin_rash,burning_micturition,itching,stomach_pain,,,,,,,,,,,,,Drug Reaction
stomach_pain,burning_micturition,itching,fatigue,,,,,,,,,,,,,,Drug Reaction
fatigue,burning_micturition,stomach_pain,skin_rash,,,,,,,,,,,,,,Drug Reaction
fatigue,itching,stomach_pain,,,,,,,,,,,,,,,Drug Reaction
burning_micturition,stomach_pain,itching,skin_rash,fatigue,,,,,,,,,,,,,Drug Reaction
skin_rash,stomach_pain,fatigue,,,,,,,,,,,,,,,Drug Reaction
skin_rash,fatigue,itching,,,,,,,,,,,,,,,Drug Reaction
stomach_pain,itching,fatigue,,,,,,,,,,,,,,,Drug Reaction
belly_pain,loss_of_appetite,indigestion,,,,,,,,,,,,,,,Peptic ulcer disease
indigestion,belly_pain,passage_of_gases,loss_of_appetite,vomiting,abdominal_pain,,,,,,,,,,,,Peptic ulcer disease
abdominal_pain,loss_of_appetite,indigestion,,,,,,,,,,,,,,,Peptic ulcer disease
passage_of_gases,loss_of_appetite,abdominal_pain,vomiting,belly_pain,indigestion,,,,,,,,,,,,Peptic ulcer disease
indigestion,loss_of_appetite,abdominal_pain,belly_pain,passage_of_gases,vomiting,,,,,,,,,,,,Peptic ulcer disease
